"Name","Slope","Intercept","Equation"
"Food and beverage stores",0.213042965156549,-429.814182203337,"y = 0.213x + -429.8142"
"Nondefense",0.211377548150708,-426.454203394053,"y = 0.2114x + -426.4542"
"Rail transportation",0.209476318033769,-422.618471633129,"y = 0.2095x + -422.6185"
"Legal services",0.208738623169225,-421.130172243912,"y = 0.2087x + -421.1302"
"Truck transportation",0.203237253516226,-410.031158968985,"y = 0.2032x + -410.0312"
"Construction",0.193455085664044,-390.295635327208,"y = 0.1935x + -390.2956"
"Federal Reserve banks, credit intermediation, and related activities",0.186550626811165,-376.365889591526,"y = 0.1866x + -376.3659"
"Performing arts, spectator sports, museums, and related activities",0.181700146878967,-366.580046328315,"y = 0.1817x + -366.58"
"Arts, entertainment, and recreation",0.180544375804063,-364.248278184698,"y = 0.1805x + -364.2483"
"Arts, entertainment, recreation, accommodation, and food services",0.179234034894182,-361.604665399012,"y = 0.1792x + -361.6047"
"Pipeline transportation",0.154329848777334,-311.360469908271,"y = 0.1543x + -311.3605"
"Professional and business services",0.146510276570026,-295.584482980027,"y = 0.1465x + -295.5845"
"Professional, scientific, and technical services",0.142630336255842,-287.756703396162,"y = 0.1426x + -287.7567"
"Space economy1",0.129001975760046,-260.261486095894,"y = 0.129x + -260.2615"
"Social assistance",0.109010190686159,-219.928059709326,"y = 0.109x + -219.9281"
"Other transportation equipment3",0.108192392926708,-218.278152729634,"y = 0.1082x + -218.2782"
"Health care and social assistance",0.107351777424205,-216.582210953333,"y = 0.1074x + -216.5822"
"Wholesale trade",0.106084359931383,-214.025196161565,"y = 0.1061x + -214.0252"
"Hospitals",0.104312589381846,-210.450649077874,"y = 0.1043x + -210.4506"
"Government enterprises",0.101142041841298,-204.054069414819,"y = 0.1011x + -204.0541"
"Miscellaneous professional, scientific, and technical services",0.0991059808985136,-199.946316462751,"y = 0.0991x + -199.9463"
"Other transportation and support activities",0.094650201671788,-190.956781872832,"y = 0.0947x + -190.9568"
"Securities, commodity contracts, and investments",0.0598893324142782,-120.826728145806,"y = 0.0599x + -120.8267"
"Warehousing and storage",0.0473428811459008,-95.5142627118548,"y = 0.0473x + -95.5143"
"Utilities",0.0366094299657177,-73.8595249558356,"y = 0.0366x + -73.8595"
"Private industries",0.0246619236976883,-49.7554310600861,"y = 0.0247x + -49.7554"
"Transit and ground passenger transportation",0.0231931803521488,-46.7922413604602,"y = 0.0232x + -46.7922"
"Transportation and warehousing",0.0208568137725741,-42.0786217861683,"y = 0.0209x + -42.0786"
"Motor vehicle and parts dealers",2.92462554298339e-15,-5.90045657376032e-12,"y = 0x + 0"
"Waste management and remediation services",0,0,"y = 0x + 0"
"Nursing and residential care facilities",0,0,"y = 0x + 0"
"Amusements, gambling, and recreation industries",0,0,"y = 0x + 0"
"Food services and drinking places",0,0,"y = 0x + 0"
"Government enterprises",0,0,"y = 0x + 0"
"Accommodation and food services",-0.00787833163845206,15.894534080577,"y = -0.0079x + 15.8945"
"Accommodation",-0.00787833163845206,15.894534080577,"y = -0.0079x + 15.8945"
"Air transportation",-0.00845479731668898,17.05755358642,"y = -0.0085x + 17.0576"
"Publishing industries, except internet (includes software)",-0.0299263981209665,60.3765082090499,"y = -0.0299x + 60.3765"
"Petroleum and coal products",-0.0596279122278952,120.299312919779,"y = -0.0596x + 120.2993"
"Management of companies and enterprises",-0.0602771362712867,121.609122427321,"y = -0.0603x + 121.6091"
"Mining, except oil and gas",-0.069579541056416,140.376724081319,"y = -0.0696x + 140.3767"
"Water transportation",-0.0993684527640917,200.475853451555,"y = -0.0994x + 200.4759"
"Motion picture and sound recording industries",-0.123674145010636,249.512587558958,"y = -0.1237x + 249.5126"
"Finance, insurance, real estate, rental, and leasing",-0.130063360337205,262.402829480312,"y = -0.1301x + 262.4028"
"Funds, trusts, and other financial vehicles",-0.133234677505286,268.800961866915,"y = -0.1332x + 268.801"
"Finance and insurance",-0.136468927273667,275.326060774623,"y = -0.1365x + 275.3261"
"Paper products",-0.15160247307025,305.857989419229,"y = -0.1516x + 305.858"
"Insurance carriers and related activities",-0.155576343699043,313.875273412818,"y = -0.1556x + 313.8753"
"Chemical products",-0.165579208712844,334.056053578164,"y = -0.1656x + 334.0561"
"Miscellaneous manufacturing",-0.174798552769001,352.65608021146,"y = -0.1748x + 352.6561"
"Wood products",-0.191783052640561,386.922308702332,"y = -0.1918x + 386.9223"
"Machinery",-0.200117021399108,403.7360906727,"y = -0.2001x + 403.7361"
"Food and beverage and tobacco products",-0.203595772471909,410.754470962077,"y = -0.2036x + 410.7545"
"Fabricated metal products",-0.206806931833973,417.232984975041,"y = -0.2068x + 417.233"
"Apparel and leather and allied products",-0.216233375095541,436.250834255254,"y = -0.2162x + 436.2508"
"Motor vehicles, bodies and trailers, and parts",-0.21801589531008,439.847068788087,"y = -0.218x + 439.8471"
"Primary metals",-0.219586672896763,443.016112569219,"y = -0.2196x + 443.0161"
"Nonmetallic mineral products",-0.220065279071181,443.981700526108,"y = -0.2201x + 443.9817"
"Nondurable goods",-0.220330511016855,444.516805976506,"y = -0.2203x + 444.5168"
"Plastics and rubber products",-0.220346222751128,444.5485044004,"y = -0.2203x + 444.5485"
"Textile mills and textile product mills",-0.222186926532705,448.262124279732,"y = -0.2222x + 448.2621"
"Printing and related support activities",-0.230708144406484,465.453681340082,"y = -0.2307x + 465.4537"
"Furniture and related products",-0.231715971343624,467.486972185762,"y = -0.2317x + 467.487"
"Electrical equipment, appliances, and components",-0.244104753221047,492.481339623462,"y = -0.2441x + 492.4813"
"Information",-0.247703586209015,499.741985176688,"y = -0.2477x + 499.742"
"Broadcasting and telecommunications4",-0.249408842009905,503.182338754983,"y = -0.2494x + 503.1823"
"Support activities for mining",-0.251653944756302,507.711833545839,"y = -0.2517x + 507.7118"
"Oil and gas extraction",-0.251726794597252,507.858808099957,"y = -0.2517x + 507.8588"
"Mining",-0.252064012061856,508.539144334794,"y = -0.2521x + 508.5391"
